register_date,accept_date,cancel_date,active,activity_sector,uf,life_days,register_year,cancel_year
2010-03-08,2009-11-03,2015-12-18,0,SECURITIZAÇÃO DE RECEBÍVEIS,RJ,2105,2010,2015
1997-07-11,1996-07-30,INEXISTENTE,1,Emp. Adm. Part. - Energia Elétrica,RJ,7784,1997,INEXISTENTE
1997-05-30,1997-04-02,INEXISTENTE,1,Emp. Adm. Part. - Sem Setor Principal,RJ,7825,1997,INEXISTENTE
1997-07-16,1997-04-02,2006-05-30,0,Emp. Adm. Part. - Sem Setor Principal,RJ,3239,1997,2006
1969-06-24,INEXISTENTE,1998-06-17,0,EMP. ADM. PARTICIPAÇÕES,RS,10578,1969,1998
1998-01-21,1997-12-14,2004-12-23,0,EMP. ADM. PARTICIPAÇÕES,RJ,2522,1998,2004
1988-06-03,INEXISTENTE,1993-03-05,0,"Máquinas, Equipamentos, Veículos e Peças",SP,1737,1988,1993
1998-02-27,1997-09-30,2001-12-17,0,COMÉRCIO (ATACADO E VAREJO),RJ,1385,1998,2001
1986-09-15,INEXISTENTE,1997-09-11,0,"Máquinas, Equipamentos, Veículos e Peças",RJ,4011,1986,1997
1995-12-20,1970-01-06,2009-09-30,0,ARRENDAMENTO MERCANTIL,SP,5030,1995,2009
1994-05-06,INEXISTENTE,1999-12-21,0,GRÁFICAS E EDITORAS,SP,2050,1994,1999
2006-07-24,2006-01-04,2010-05-28,0,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",SP,1404,2006,2010
2011-03-29,2008-03-04,INEXISTENTE,1,Serviços Transporte e Logística,RJ,2776,2011,INEXISTENTE
1978-05-09,1973-03-15,2007-08-07,0,METALURGIA E SIDERURGIA,MG,10673,1978,2007
1971-10-20,INEXISTENTE,1994-02-09,0,METALURGIA E SIDERURGIA,SP,8144,1971,1994
1972-08-16,INEXISTENTE,1989-12-14,0,METALURGIA E SIDERURGIA,SP,6323,1972,1989
1994-07-21,INEXISTENTE,1995-09-05,0,METALURGIA E SIDERURGIA,RN,409,1994,1995
1977-10-20,INEXISTENTE,1993-01-11,0,METALURGIA E SIDERURGIA,SP,5561,1977,1993
1969-05-16,1944-08-18,2010-12-30,0,METALURGIA E SIDERURGIA,SP,15189,1969,2010
1981-12-23,INEXISTENTE,2000-02-21,0,Petroquímicos e Borracha,BA,6633,1981,2000
2006-08-09,2006-01-02,2016-02-04,0,SECURITIZAÇÃO DE RECEBÍVEIS,RJ,3465,2006,2016
1998-12-09,1998-09-14,2002-04-24,0,EMP. ADM. PARTICIPAÇÕES,SP,1235,1998,2002
2007-07-20,1976-01-01,2010-08-13,0,"AGRICULTURA (AÇUCAR, ALCOOL E CANA)",SP,1118,2007,2010
1981-04-14,INEXISTENTE,1989-08-02,0,EMP. ADM. PARTICIPAÇÕES,RS,3028,1981,1989
1974-12-10,INEXISTENTE,2005-08-09,0,Petroquímicos e Borracha,PB,11194,1974,2005
1969-09-22,INEXISTENTE,2005-12-20,0,Petroquímicos e Borracha,SP,13228,1969,2005
2009-06-24,2008-08-18,INEXISTENTE,1,Farmacêutico e Higiene,SP,3421,2009,INEXISTENTE
2014-05-21,2007-03-26,INEXISTENTE,1,"Saneamento, Serv. Água e Gás",SP,1629,2014,INEXISTENTE
1977-07-20,INEXISTENTE,1992-12-01,0,SERVICOS DIVERSOS,RJ,5606,1977,1992
2002-10-14,1997-06-01,2018-09-05,0,Emp. Adm. Part. - Energia Elétrica,SP,5801,2002,2018
2001-06-29,2000-11-06,INEXISTENTE,1,Emp. Adm. Part. - Energia Elétrica,SP,6336,2001,INEXISTENTE
1999-07-14,1999-02-04,2015-12-31,0,ENERGIA ELÉTRICA,SP,6007,1999,2015
1998-12-17,1998-09-14,2016-06-24,0,SECURITIZAÇÃO DE RECEBÍVEIS,SP,6397,1998,2016
2006-07-12,2005-08-31,2017-11-24,0,ENERGIA ELÉTRICA,SP,4147,2006,2017
2010-09-24,2008-08-18,INEXISTENTE,1,ENERGIA ELÉTRICA,RJ,2966,2010,INEXISTENTE
1985-04-09,1904-11-01,2005-05-30,0,SEGURADORAS E CORRETORAS,SP,7351,1985,2005
1971-05-14,INEXISTENTE,1987-05-04,0,GRÁFICAS E EDITORAS,RJ,5830,1971,1987
1975-10-10,INEXISTENTE,2000-01-14,0,PETRÓLEO E GÁS,SP,8859,1975,2000
2007-04-19,2005-08-05,2010-05-28,0,"Construção Civil, Mat. Constr. e Decoração",SP,1134,2007,2010
1977-07-20,INEXISTENTE,2000-06-26,0,"Máquinas, Equipamentos, Veículos e Peças",RS,8371,1977,2000
2009-12-22,2009-07-16,2010-07-19,0,"Construção Civil, Mat. Constr. e Decoração",SP,212,2009,2010
1983-01-24,INEXISTENTE,1985-09-30,0,ARRENDAMENTO MERCANTIL,RS,976,1983,1985
1977-07-20,INEXISTENTE,2005-08-09,0,"AGRICULTURA (AÇUCAR, ALCOOL E CANA)",PB,10239,1977,2005
1977-07-20,INEXISTENTE,2005-12-20,0,"AGRICULTURA (AÇUCAR, ALCOOL E CANA)",MG,10370,1977,2005
1983-09-16,INEXISTENTE,1988-02-25,0,"AGRICULTURA (AÇUCAR, ALCOOL E CANA)",MT,1624,1983,1988
2014-08-06,2000-09-29,INEXISTENTE,1,"Saneamento, Serv. Água e Gás",MS,1554,2014,INEXISTENTE
2009-11-05,1998-10-23,2014-03-10,0,Emp. Adm. Part. - Serviços Transporte e Logística,SP,1590,2009,2014
1970-09-17,INEXISTENTE,1998-11-19,0,OUTRAS ATIVIDADES INDUSTRIAIS,SP,10282,1970,1998
1998-11-27,1997-01-06,2007-11-13,0,Emp. Adm. Part. - Sem Setor Principal,SP,3271,1998,2007
1998-12-10,1998-09-14,2002-05-15,0,EMP. ADM. PARTICIPAÇÕES,SP,1255,1998,2002
1987-11-05,INEXISTENTE,1990-12-27,0,EMP. ADM. PARTICIPAÇÕES,SP,1147,1987,1990
1995-07-28,1974-10-30,2010-01-04,0,Petroquímicos e Borracha,RN,5271,1995,2010
1983-11-11,INEXISTENTE,1987-07-28,0,METALURGIA E SIDERURGIA,SP,1357,1983,1987
1981-10-20,INEXISTENTE,1993-10-19,0,METALURGIA E SIDERURGIA,SP,4379,1981,1993
1997-12-08,1997-10-06,INEXISTENTE,1,Emp. Adm. Part. - Sem Setor Principal,RJ,7637,1997,INEXISTENTE
1977-07-20,1969-08-11,INEXISTENTE,1,Emp. Adm. Part. - Intermediação Financeira,SP,15075,1977,INEXISTENTE
1980-11-17,INEXISTENTE,2007-11-13,0,TEXTIL E VESTUÁRIO,BA,9851,1980,2007
1982-01-22,INEXISTENTE,2005-08-09,0,TEXTIL E VESTUÁRIO,RS,8592,1982,2005
2007-07-27,2004-01-01,INEXISTENTE,1,TELECOMUNICAÇÕES,MG,4118,2007,INEXISTENTE
2008-01-18,2004-01-01,INEXISTENTE,1,Emp. Adm. Part. - Comércio (Atacado e Varejo),RJ,3942,2008,INEXISTENTE
1999-05-26,1999-01-29,2003-11-10,0,EMP. ADM. PARTICIPAÇÕES,SP,1624,1999,2003
1992-12-28,INEXISTENTE,1995-09-27,0,EMP. ADM. PARTICIPAÇÕES,BA,1004,1992,1995
1998-12-10,1998-09-14,2011-08-31,0,Emp. Adm. Part. - Sem Setor Principal,RJ,4646,1998,2011
2007-07-02,2006-12-11,2015-08-26,0,Emp. Adm. Part. - Sem Setor Principal,SP,2974,2007,2015
1975-01-03,INEXISTENTE,2005-03-22,0,METALURGIA E SIDERURGIA,MG,11029,1975,2005
1977-07-20,1907-04-03,INEXISTENTE,1,TEXTIL E VESTUÁRIO,SP,15075,1977,INEXISTENTE
1982-09-03,INEXISTENTE,1989-10-19,0,EMP. ADM. PARTICIPAÇÕES,SP,2601,1982,1989
1976-08-20,INEXISTENTE,2005-08-09,0,"Máquinas, Equipamentos, Veículos e Peças",RS,10574,1976,2005
1982-12-02,INEXISTENTE,1989-08-02,0,"Construção Civil, Mat. Constr. e Decoração",SP,2435,1982,1989
1998-05-11,1998-05-11,2003-12-29,0,TELECOMUNICAÇÕES,RJ,2053,1998,2003
1998-12-10,1998-09-14,INEXISTENTE,1,SECURITIZAÇÃO DE RECEBÍVEIS,SP,7270,1998,INEXISTENTE
2013-07-02,1989-06-06,2017-12-08,0,"Máquinas, Equipamentos, Veículos e Peças",RS,1616,2013,2017
1979-12-12,INEXISTENTE,1997-01-30,0,EMP. ADM. PARTICIPAÇÕES,RJ,6258,1979,1997
2008-06-18,2006-09-27,INEXISTENTE,1,Emp. Adm. Part. - Energia Elétrica,SP,3792,2008,INEXISTENTE
1975-12-17,INEXISTENTE,1987-05-15,0,METALURGIA E SIDERURGIA,SC,4168,1975,1987
1977-07-20,1964-06-23,2006-05-31,0,BANCOS,SP,10536,1977,2006
1971-12-08,INEXISTENTE,2002-09-18,0,METALURGIA E SIDERURGIA,RS,11235,1971,2002
2018-08-14,2016-01-13,2018-11-05,0,Emp. Adm. Part. - Energia Elétrica,RJ,81,2018,2018
1998-02-26,1997-07-04,2000-06-20,0,EMP. ADM. PARTICIPAÇÕES,RJ,844,1998,2000
1983-02-28,INEXISTENTE,1988-06-15,0,TEXTIL E VESTUÁRIO,SP,1932,1983,1988
1998-05-06,1998-01-05,2009-03-09,0,TELECOMUNICAÇÕES,PA,3958,1998,2009
2013-10-30,2005-07-08,INEXISTENTE,1,BEBIDAS E FUMO,SP,1835,2013,INEXISTENTE
1986-05-23,INEXISTENTE,2003-07-21,0,"Máquinas, Equipamentos, Veículos e Peças",SP,6263,1986,2003
1982-09-28,1974-10-24,2000-03-02,0,ARRENDAMENTO MERCANTIL,SP,6364,1982,2000
1996-08-19,1996-05-15,2008-03-18,0,HOSPEDAGEM E TURISMO,RJ,4229,1996,2008
1997-03-26,1997-02-18,2012-09-04,0,TELECOMUNICAÇÕES,DF,5633,1997,2012
2007-10-24,1978-01-01,2013-05-09,0,SERVIÇOS MÉDICOS,RJ,2025,2007,2013
1969-08-15,1909-06-01,INEXISTENTE,1,ENERGIA ELÉTRICA,RJ,17970,1969,INEXISTENTE
2006-07-27,2005-12-29,2012-05-23,0,Emp. Adm. Part. - Energia Elétrica,RJ,2126,2006,2012
2002-02-26,1992-04-02,2006-12-18,0,Emp. Adm. Part. - Comércio (Atacado e Varejo),RJ,1752,2002,2006
1996-01-11,1995-12-01,2001-11-30,0,EMP. ADM. PARTICIPAÇÕES,RJ,2144,1996,2001
1977-07-20,INEXISTENTE,1989-05-26,0,"Máquinas, Equipamentos, Veículos e Peças",PR,4326,1977,1989
1977-07-20,INEXISTENTE,1987-12-23,0,ALIMENTOS,SP,3803,1977,1987
2003-09-01,1999-12-13,INEXISTENTE,1,Emp. Adm. Part. - Sem Setor Principal,MG,5544,2003,INEXISTENTE
2001-10-29,2000-07-31,INEXISTENTE,1,Emp. Adm. Part. - Sem Setor Principal,MG,6216,2001,INEXISTENTE
2001-06-08,2001-02-19,2014-10-08,0,Emp. Adm. Part. - Educação,SP,4865,2001,2014
2013-10-24,2007-10-05,INEXISTENTE,1,EDUCAÇÃO,SP,1841,2013,INEXISTENTE
1985-07-15,INEXISTENTE,1986-04-02,0,"Construção Civil, Mat. Constr. e Decoração",SP,262,1985,1986
2010-11-25,2010-05-28,INEXISTENTE,1,SECURITIZAÇÃO DE RECEBÍVEIS,SP,2905,2010,INEXISTENTE
1971-07-09,INEXISTENTE,1990-10-30,0,METALURGIA E SIDERURGIA,RJ,7046,1971,1990
2010-07-26,2009-07-08,2012-06-26,0,BRINQUEDOS E LAZER,RJ,700,2010,2012
1985-12-17,INEXISTENTE,2007-01-09,0,Petroquímicos e Borracha,SP,7692,1985,2007
2008-06-24,2008-01-14,INEXISTENTE,1,SECURITIZAÇÃO DE RECEBÍVEIS,SP,3786,2008,INEXISTENTE
2012-09-05,2012-05-23,INEXISTENTE,0,SECURITIZAÇÃO DE RECEBÍVEIS,SP,2255,2012,INEXISTENTE
1980-02-05,1972-04-24,2009-12-31,0,PAPEL E CELULOSE,ES,10911,1980,2009
1982-08-26,INEXISTENTE,1989-01-13,0,Petroquímicos e Borracha,MG,2332,1982,1989
1973-11-29,INEXISTENTE,1987-06-05,0,ALIMENTOS,TO,4936,1973,1987
1987-04-29,INEXISTENTE,1988-07-05,0,EXTRAÇÃO MINERAL,DF,431,1987,1988
1977-07-20,INEXISTENTE,1996-10-10,0,COMÉRCIO (ATACADO E VAREJO),PR,7015,1977,1996
2000-04-18,1999-11-22,2014-11-14,0,Emp. Adm. Part. - Sem Setor Principal,RJ,5316,2000,2014
1995-02-20,INEXISTENTE,2003-01-16,0,EMP. ADM. PARTICIPAÇÕES,RJ,2886,1995,2003
1969-12-19,1921-12-11,2007-06-15,0,METALURGIA E SIDERURGIA,MG,13686,1969,2007
1971-12-22,1944-10-31,2008-04-24,0,METALURGIA E SIDERURGIA,MG,13267,1971,2008
1968-08-05,INEXISTENTE,1987-12-03,0,METALURGIA E SIDERURGIA,RS,7053,1968,1987
1998-02-26,1997-07-04,2000-11-24,0,EMP. ADM. PARTICIPAÇÕES,RJ,998,1998,2000
2011-01-31,1972-09-15,INEXISTENTE,1,TEXTIL E VESTUÁRIO,MG,2834,2011,INEXISTENTE
1998-02-12,1997-07-04,2000-06-20,0,EMP. ADM. PARTICIPAÇÕES,RJ,858,1998,2000
2017-04-24,2016-03-23,INEXISTENTE,1,Emp. Adm. Part. - Energia Elétrica,SP,561,2017,INEXISTENTE
2017-09-22,2016-03-23,INEXISTENTE,1,ENERGIA ELÉTRICA,SP,413,2017,INEXISTENTE
1998-07-20,1998-06-24,2008-06-30,0,Emp. Adm. Part. - Telecomunicações,RJ,3630,1998,2008
1999-06-21,1998-11-21,2008-04-18,0,Emp. Adm. Part. - Telecomunicações,RJ,3222,1999,2008
1977-07-20,INEXISTENTE,1991-03-08,0,Serviços Transporte e Logística,BA,4978,1977,1991
1968-09-23,INEXISTENTE,2000-05-16,0,"Máquinas, Equipamentos, Veículos e Peças",SP,11553,1968,2000
1970-12-30,INEXISTENTE,1986-11-05,0,OUTRAS ATIVIDADES INDUSTRIAIS,PE,5785,1970,1986
2005-07-06,1998-11-09,INEXISTENTE,1,Serviços Transporte e Logística,SP,4869,2005,INEXISTENTE
1977-07-20,1962-12-03,2011-01-04,0,TEXTIL E VESTUÁRIO,RS,12214,1977,2011
1981-02-24,INEXISTENTE,1986-03-18,0,OUTRAS ATIVIDADES INDUSTRIAIS,RJ,1849,1981,1986
1970-04-27,INEXISTENTE,1992-07-06,0,METALURGIA E SIDERURGIA,PA,8099,1970,1992
2017-07-18,1980-08-13,INEXISTENTE,1,Emp. Adm. Part. - Comércio (Atacado e Varejo),SP,477,2017,INEXISTENTE
2012-08-10,2010-06-30,2016-01-07,0,Emp. Adm. Part. - Sem Setor Principal,PR,1247,2012,2016
